Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,NOH,Anthony Davis,0.52,0.118,0.777,32.4,17.6,9.3,1.3,18.2,0.195
2,CHA,Michael Kidd-Gilchrist,0.469,0.167,0.683,25.1,8.3,5.6,1.2,5.8,0.076
3,WAS,Bradley Beal,0.416,0.396,0.787,33.1,15.7,3.8,2.9,7,0.079
4,CLE,Dion Waiters,0.422,0.343,0.713,29.1,15.1,2.6,2.9,2.3,0.029
5,SAC,Thomas Robinson,0.454,0,0.532,13.5,4.6,4.4,0.5,1.6,0.039
6,POR,Damian Lillard,0.428,0.385,0.863,37.1,19.9,3.4,6,16.9,0.127
7,GSW,Harrison Barnes,0.423,0.356,0.741,27,9.4,4.1,1.4,6.9,0.073
8,TOR,Terrence Ross,0.419,0.379,0.808,22.3,8.9,2.6,0.9,5.8,0.076
9,DET,Andre Drummond,0.606,0.25,0.401,27.4,11,10.8,0.5,14.5,0.17
10,NOH,Austin Rivers,0.395,0.347,0.602,21.2,7,1.8,2.2,-0.2,-0.003
11,POR,Meyers Leonard,0.524,0.333,0.804,13.9,4.3,3.3,0.5,3.2,0.098
12,HOU,Jeremy Lamb,0.418,0.341,0.828,17.2,7.4,2.2,1.2,3.3,0.088
13,PHO,Kendall Marshall,0.396,0.375,0.54,21.9,5.5,1.9,6,0.8,0.016
14,MIL,John Henson,0.52,0,0.521,19.7,8.4,5.8,1,5.6,0.096
15,PHI,Maurice Harkless,0.466,0.332,0.585,24.9,7.8,3.8,0.8,5.5,0.066
16,HOU,Royce White,0,,,3,0,0,0,0,-0.121
17,DAL,Tyler Zeller,0.479,0,0.747,20.6,6.8,4.8,0.9,5.1,0.078
18,HOU,Terrence Jones,0.532,0.307,0.62,25,10.9,6.3,1.1,8.5,0.165
19,ORL,Andrew Nicholson,0.479,0.315,0.81,15.9,6.7,3.4,0.5,2.3,0.044
20,DEN,Evan Fournier,0.446,0.396,0.748,18.2,8.2,2.1,1.4,3.3,0.072
21,BOS,Jared Sullinger,0.443,0.255,0.774,25,10.7,7.3,1.4,7.3,0.111
22,BOS,Fab Melo,0.5,,0.25,6,1.2,0.5,0,0,0.021
23,ATL,John Jenkins,0.438,0.365,0.851,14.3,5.6,1.6,0.9,1.6,0.071
24,CLE,Jared Cunningham,0.341,0.273,0.8,5.3,2,0.4,0.5,0.1,0.052
25,MEM,Tony Wroten,0.425,0.24,0.644,20,10.4,2.5,2.7,-0.6,-0.012
26,IND,Miles Plumlee,0.508,,0.577,21.9,7,6.9,0.5,4.5,0.096
27,MIA,Arnett Moultrie,0.547,,0.667,12.4,3.6,3.1,0.2,1.7,0.113
28,OKC,Perry Jones,0.44,0.345,0.684,11.5,3.6,1.9,0.4,1.7,0.066
29,CHI,Marquis Teague,0.349,0.22,0.686,9.5,2.3,1,1.4,-0.8,-0.046
30,GSW,Festus Ezeli,0.458,,0.529,14,2.5,3.9,0.3,1.7,0.068
31,CHA,Jeff Taylor,0.412,0.321,0.673,20.7,6.6,2,0.8,1,0.022
32,WAS,Tomas Satoransky,,,,,,,,,
33,CLE,Bernard James,0.508,0,0.596,7.9,2.1,2.3,0.1,1.3,0.105
34,CLE,Jae Crowder,0.41,0.329,0.705,16.3,4.7,2.3,1,4.1,0.073
35,GSW,Draymond Green,0.388,0.313,0.723,18.5,5,4.3,1.4,5.9,0.091
36,SAC,Orlando Johnson,0.369,0.319,0.724,10.5,3.2,1.7,0.7,1.5,0.074
37,TOR,Quincy Acy,0.498,0.278,0.72,13.4,3.2,3.4,0.5,2.6,0.094
38,DEN,Quincy Miller,0.366,0.316,0.702,13.8,4.5,2.5,0.5,0,0.001
39,DET,Khris Middleton,0.439,0.394,0.851,26.8,10.5,3.3,1.8,3.8,0.059
40,POR,Will Barton,0.387,0.194,0.765,11.2,3.9,1.9,0.8,-0.1,-0.002
41,POR,Tyshawn Taylor,0.354,0.36,0.684,8,2.9,0.5,0.9,-0.9,-0.088
42,MIL,Doron Lamb,0.381,0.394,0.7,12.7,3.5,1,0.8,0.1,0.005
43,ATL,Mike Scott,0.48,0.33,0.773,15.4,8,3.2,0.7,3.7,0.091
44,DET,Kim English,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021
45,PHI,Justin Hamilton,0.485,0.375,1,12.1,3.8,1.8,0.3,0.4,0.117
46,NOH,Darius Miller,0.427,0.353,0.841,14.5,3.2,1.3,0.9,1.3,0.045
47,UTA,Kevin Murphy,0.25,0.2,,3.1,0.9,0.2,0.1,-0.3,-0.272
48,NYK,Kostas Papanikolaou,0.32,0.364,0.667,25.1,5.8,4.3,3.3,0.3,0.083
49,ORL,Kyle O'Quinn,0.502,0,0.68,14.5,5.2,4.5,1.1,3.9,0.101
50,DEN,Izzet Turkyilmaz,,,,,,,,,
51,BOS,Kris Joseph,0.143,0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127
52,GSW,Ognjen Kuzmic,0.385,,0.455,4.3,0.7,1,0.1,0,-0.014
53,LAC,Furkan Aldemir,,,,,,,,,
54,PHI,Tornike Shengelia,0.451,0.125,0.5,5.5,1.3,0.9,0.4,-0.2,-0.032
55,DAL,Darius Johnson-Odom,0,0,0,3,0,0.9,0.3,-0.3,-0.597
56,TOR,Tomislav Zubcic,,,,,,,,,
57,NJN,Ilkan Karaman,,,,,,,,,
58,MIN,Robbie Hummel,0.39,0.358,0.938,12.3,3.4,2.4,0.4,1.3,0.089
59,SAS,Marcus Denmon,,,,,,,,,
60,LAL,Robert Sacre,0.462,,0.687,13,4,2.8,0.6,1.2,0.044
