Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,NJN,Kenyon Martin,0.483,0.234,0.629,30.9,12.5,6.9,1.9,47.8,0.1
2,VAN,Stromile Swift,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095
3,LAC,Darius Miles,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039
4,CHI,Marcus Fizer,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022
5,ORL,Mike Miller,0.462,0.409,0.769,29,11.7,4.6,2.8,60,0.108
6,ATL,DerMarr Johnson,0.411,0.336,0.789,17.2,6.2,2.2,0.9,6.4,0.052
7,CHI,Chris Mihm,0.459,0.231,0.704,20.1,7.5,5.3,0.5,13.3,0.073
8,CLE,Jamal Crawford,0.411,0.351,0.855,31.5,15.6,2.5,3.7,50.7,0.08
9,HOU,Joel Przybilla,0.552,0,0.557,19.8,3.9,6.2,0.4,23,0.094
10,ORL,Keyon Dooling,0.416,0.349,0.799,19.4,7,1.3,2.2,18.5,0.063
11,BOS,Jerome Moiso,0.489,0,0.593,9.6,2.7,2.7,0.3,2.1,0.074
12,DAL,Etan Thomas,0.513,,0.603,17.3,5.7,4.7,0.4,14.9,0.101
13,ORL,Courtney Alexander,0.422,0.339,0.813,21.7,9,2.2,1.2,4.1,0.048
14,DET,Mateen Cleaves,0.389,0.267,0.728,11.2,3.6,1,1.9,-0.8,-0.021
15,MIL,Jason Collier,0.455,0.35,0.738,14.4,5.6,2.9,0.3,1.9,0.042
16,SAC,Hedo Turkoglu,0.426,0.382,0.785,27.7,11.5,4.1,3,62.2,0.115
17,SEA,Desmond Mason,0.449,0.26,0.74,30.5,12.1,4.5,1.6,23.1,0.056
18,LAC,Quentin Richardson,0.397,0.355,0.718,26.5,10.3,4.7,1.5,32.8,0.076
19,CHH,Jamaal Magloire,0.48,0,0.639,21.5,7.2,6.5,0.6,27.7,0.091
20,PHI,Speedy Claxton,0.409,0.193,0.762,25.6,9.3,2.5,4.3,14.2,0.08
21,TOR,Morris Peterson,0.418,0.373,0.773,27.2,10.7,3.5,1.5,35.7,0.089
22,NYK,Donnell Harvey,0.46,0.1,0.659,16.2,5.6,4,0.8,4.7,0.069
23,UTA,DeShawn Stevenson,0.406,0.34,0.698,22.3,7.2,2.2,1.6,12.1,0.032
24,CHI,Dalibor Bagaric,0.361,0,0.559,10.2,2.6,2.5,0.4,-0.9,-0.043
25,PHO,Jake Tsakalidis,0.49,0,0.657,15.9,4.8,3.9,0.3,9.9,0.095
26,DEN,Mamadou N'Diaye,0.427,0,0.736,12.4,3.8,3.3,0.1,1.8,0.101
27,IND,Primoz Brezec,0.498,0.167,0.701,18.1,7.2,3.9,0.5,10.8,0.084
28,POR,Erick Barkley,0.356,0.267,0.9,9.9,2.9,0.8,1.5,0.2,0.027
29,LAL,Mark Madsen,0.457,0.063,0.527,11.8,2.2,2.6,0.4,8.2,0.074
30,LAC,Marko Jaric,0.404,0.344,0.73,25.2,7.1,2.7,3.6,12.1,0.052
31,DAL,Dan Langhi,0.391,0.289,0.613,9.4,3,1.5,0.3,0.3,0.012
32,CHI,A.J. Guyton,0.377,0.378,0.822,15.6,5.5,1,1.8,0.3,0.01
33,CHI,Jake Voskuhl,0.487,0.333,0.714,14.3,4,3.4,0.5,11.6,0.087
34,CHI,Khalid El-Amin,0.37,0.333,0.778,18.7,6.3,1.6,2.9,0.6,0.03
35,WAS,Mike Smith,0.322,0.167,0.625,10.6,3,1.3,0.6,-0.1,-0.033
36,NJN,Soumaila Samake,0.389,,0.462,6.4,1.4,1.6,0.1,0.3,0.046
37,MIA,Eddie House,0.409,0.39,0.851,17.3,7.5,1.7,1.6,20,0.077
38,HOU,Eduardo Najera,0.481,0.311,0.671,18.1,4.9,3.7,0.8,24.7,0.106
39,NYK,Lavor Postell,0.335,0.25,0.795,7.3,3.2,0.7,0.2,-0.2,-0.025
40,ATL,Hanno Mottola,0.442,0.063,0.783,15.2,4.6,2.9,0.5,0.9,0.019
41,SAS,Chris Carrawell,,,,,,,,,
42,SEA,Olumide Oyedeji,0.495,,0.659,6.3,1.4,2.1,0.1,1.2,0.095
43,MIL,Michael Redd,0.447,0.38,0.838,32,19,3.8,2.1,55.9,0.134
44,DET,Brian Cardinal,0.408,0.372,0.861,14.2,4.6,2.3,1,15.4,0.114
45,SAC,Jabari Smith,0.413,0.125,0.69,9.8,3,1.6,0.6,1.3,0.058
46,TOR,DeeAndre Hulett,,,,,,,,,
47,SEA,Josip Sesar,,,,,,,,,
48,PHI,Mark Karcher,,,,,,,,,
49,MIL,Jason Hart,0.417,0.315,0.788,15.5,4.8,1.7,2.3,8.6,0.078
50,UTA,Kaniel Dickens,0.4,0.333,0.75,4.5,1.2,0.6,0.1,0.1,0.055
51,MIN,Igor Rakocevic,0.379,0.417,0.806,5.8,1.9,0.4,0.8,0.1,0.022
52,MIA,Ernest Brown,0.167,,0.25,7,1,2,0,-0.2,-0.349
53,DEN,Dan McClintock,0.5,,0,9.7,3,2.8,0.2,0,0.007
54,SAS,Corey Hightower,,,,,,,,,
55,GSW,Chris Porter,0.389,0,0.667,22.5,8.6,3.7,1.2,0.2,0.008
56,IND,Jaquay Walls,,,,,,,,,
57,ATL,Scoonie Penn,,,,,,,,,
58,DAL,Pete Mickeal,,,,,,,,, 
