Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,WAS,Kwame Brown,0.492,0.111,0.57,22.1,6.6,5.5,0.9,20.8,0.074
2,LAC,Tyson Chandler,0.585,0,0.64,28.6,8.7,9.1,0.8,79.7,0.157
3,ATL,Pau Gasol,0.515,0.244,0.75,35.6,18.3,9.2,3.3,114.2,0.168
4,CHI,Eddy Curry,0.545,1,0.642,24.9,12.9,5.2,0.5,21.7,0.08
5,GSW,Jason Richardson,0.44,0.371,0.707,34.4,17.3,5,2.7,58.7,0.098
6,MEM,Shane Battier,0.437,0.384,0.743,30.7,8.6,4.2,1.8,75.7,0.121
7,NJN,Eddie Griffin,0.377,0.315,0.671,22.2,7.2,5.8,0.8,10.9,0.078
8,CLE,DeSagana Diop,0.427,0.167,0.467,14,2,3.7,0.4,12.8,0.073
9,DET,Rodney White,0.424,0.314,0.749,15.4,7.1,2.2,1.1,1.8,0.026
10,BOS,Joe Johnson,0.443,0.372,0.799,36.3,17.5,4.1,4.2,72.2,0.096
11,BOS,Kedrick Brown,0.405,0.274,0.64,13.5,3.6,2.4,0.7,3,0.074
12,SEA,Vladimir Radmanovic,0.415,0.378,0.758,21.9,8,3.8,1.4,26.5,0.079
13,HOU,Richard Jefferson,0.465,0.376,0.773,31.9,14.4,4.5,2.3,75.8,0.121
14,GSW,Troy Murphy,0.445,0.388,0.785,27.3,10.8,7.8,1.5,50.3,0.121
15,ORL,Steven Hunter,0.56,0,0.485,15,4.5,3.2,0.2,10.6,0.085
16,CHH,Kirk Haston,0.232,0,0.5,5,1.2,1,0.3,-0.5,-0.197
17,TOR,Michael Bradley,0.477,0.143,0.511,11.7,2.8,3.4,0.5,2,0.047
18,HOU,Jason Collins,0.411,0.206,0.647,20.4,3.6,3.7,0.9,20.1,0.064
19,POR,Zach Randolph,0.472,0.26,0.763,32,17.2,9.4,1.8,66.2,0.116
20,CLE,Brendan Haywood,0.528,0,0.587,23.3,6.9,6.1,0.6,43.8,0.113
21,BOS,Joseph Forte,0.234,0,0.8,5,1.2,0.7,0.7,-0.4,-0.166
22,ORL,Jeryl Sasser,0.303,0.295,0.687,12.9,2.5,2.3,0.8,0.7,0.032
23,HOU,Brandon Armstrong,0.352,0.333,0.6,6.5,2.2,0.6,0.2,-0.6,-0.039
24,UTA,Raul Lopez,0.429,0.346,0.853,18.9,6.5,1.7,3.8,2.1,0.047
25,SAC,Gerald Wallace,0.469,0.312,0.71,30.4,12.3,6,2.1,59.6,0.117
26,PHI,Samuel Dalembert,0.522,0.083,0.707,24.6,7.8,7.9,0.5,51.1,0.115
27,MEM,Jamaal Tinsley,0.393,0.299,0.716,26.4,8.5,2.9,6.1,17.2,0.057
28,SAS,Tony Parker,0.495,0.319,0.752,32.6,17.1,3,6,96.6,0.15
29,CHI,Trenton Hassell,0.445,0.318,0.765,25.3,5.8,2.8,1.8,13.8,0.041
30,GSW,Gilbert Arenas,0.421,0.351,0.803,35.1,20.7,3.9,5.3,51.3,0.127
31,ORL,Omar Cook,0.333,0,0.5,9.7,1.7,0.6,2.1,-0.1,-0.021
32,MEM,Will Solomon,0.378,0.298,0.692,13.8,5.1,1.1,2,0,0
33,ATL,Terence Morris,0.407,0.196,0.711,13.9,3.4,2.7,0.7,1,0.025
34,NJN,Brian Scalabrine,0.39,0.344,0.783,13,3.1,2,0.8,7.6,0.054
35,CLE,Jeff Trepagnier,0.337,0.462,0.7,8.7,2.8,1.4,0.7,-0.2,-0.038
36,PHI,Damone Brown,0.336,0.286,0.667,9,2.8,1.3,0.5,-0.7,-0.1
37,DET,Mehmet Okur,0.458,0.375,0.797,29.1,13.5,7,1.7,54.7,0.142
38,NYK,Michael Wright,,,,,,,,,
39,SEA,Earl Watson,0.411,0.324,0.703,22.2,6.4,2.3,4.4,19.2,0.047
40,IND,Jamison Brewer,0.372,0.25,0.393,8.7,1.6,0.9,1,0,-0.001
41,SEA,Bobby Simmons,0.437,0.396,0.823,24.7,9,3.8,1.5,20.1,0.084
42,NYK,Eric Chenowith,,,,,,,,,
43,DAL,Kyle Hill,,,,,,,,,
44,CHI,Sean Lampley,0.463,0,0.691,12.2,4.5,2.1,0.7,1.1,0.096
45,MIN,Loren Woods,0.419,0.143,0.642,11.3,2.6,3.2,0.3,3.1,0.062
46,DEN,Ousmane Cisse,,,,,,,,,
47,MEM,Antonis Fotsis,0.404,0.304,0.85,11.4,3.9,2.2,0.4,0.1,0.017
48,MIA,Ken Johnson,0.405,,0.333,9.8,2,2,0,0,-0.002
49,POR,Ruben Boumtje-Boumtje,0.368,,0.556,6.3,1,1.3,0.1,0.2,0.027
50,PHO,Alton Ford,0.507,,0.697,7.2,2.5,1.7,0.2,0.8,0.074
51,MIL,Andre Hutson,,,,,,,,,
52,UTA,Jarron Collins,0.455,0,0.699,15.8,3.9,2.9,0.8,15.7,0.088
53,DAL,Kenny Satterfield,0.335,0.218,0.746,14.2,4.3,1.3,2.3,-1.1,-0.051
54,SAC,Maurice Jeffers,,,,,,,,,
55,SAS,Robertas Javtokas,,,,,,,,,
56,PHI,Alvin Jones,0.4,,0.5,5.5,1.1,1.6,0.1,0.1,0.034
57,SAS,Bryan Bracey,,,,,,,,, 
